#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD8DE7
#Date Time: 2020-06-09 17:34:14.477
#Sample rate: 10268Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 400 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 500 kHz
#Period: 2 us
#Amplitude: 4 V
#Offset: 80 mV
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.79791627,0.001979876037556989,0.0002143083413114477
-0.7978188799999999,0.001646662966877039,0.0002143083413114477
-0.79772149,0.002313089108237241,0.0002143083413114477
-0.7976240999999999,0.003312728320278757,0.0002143083413114477
-0.79752671,0.002313089108237544,0.0002143083413114477
-0.79742932,0.002313089108237544,0.0002143083413114477
-0.7973319299999999,0.003312728320278757,0.0002143083413114477
-0.79723454,0.002313089108238453,0.0002143083413114477
-0.79713715,0.001646662966876433,0.0002143083413114477
-0.79703976,0.002979515249598655,0.0002143083413114477
-0.79694237,0.00331272832027906,0.0002143083413114477
-0.7968449799999999,0.002646302178918554,0.0005525475527798382
-0.79674759,0.003645941390959767,0.0005525475527798382
-0.7966502,0.003645941390959767,0.0005525475527798382
-0.79655281,0.00231308910823815,0.0002143083413116015
-0.79645542,0.003312728320278757,0.0005525475527796845
-0.7963580299999999,0.003979154461639867,0.0005525475527798382
-0.79626064,0.002979515249598655,0.0005525475527798382
-0.79616325,-0.002018680810609679,-0.0001239308701569428
-0.7960658599999999,-0.005017598446732862,-0.0004621700816253334
-0.79596847,-0.003018320022652256,-0.0004621700816253334
-0.79587108,0.0003138106841542102,0.0002143083413114477
-0.79577369,0.003645941390959767,0.0005525475527798382
-0.7956763,0.003645941390959767,0.0005525475527798382
-0.7955789099999999,0.001646662966876281,0.0002143083413114477
-0.7954815200000001,0.00131344989619618,0.0002143083413114477
-0.79538413,0.001979876037556989,0.0002143083413114477
-0.79528674,0.001313449896195877,0.0002143083413114477
